original_user_id,recommended_products,generated_at
470912068,"[5777805, 5819583, 5868474]",2025-03-17 17:07:27.162465
347800170,"[5809912, 5815662, 5304]",2025-03-17 17:07:27.162465
553882669,"[37987, 5912537, 5888070]",2025-03-17 17:07:27.162465
545856403,"[5809912, 5815662, 5304]",2025-03-17 17:07:27.162465
539112349,"[5870645, 5777413, 5866145]",2025-03-17 17:07:27.162465
493060417,"[5726165, 5549796, 5858992]",2025-03-17 17:07:27.162465
464557213,"[5884033, 5833658, 5899852]",2025-03-17 17:07:27.162465
566493658,"[5809912, 5802432, 5815662]",2025-03-17 17:07:27.162465
449625658,"[5809912, 5815662, 5304]",2025-03-17 17:07:27.162465
566548506,"[5816166, 5807805, 5838935]",2025-03-17 17:07:27.162465
566351725,"[5809912, 5802432, 5815662]",2025-03-17 17:07:27.162465
370558385,"[5849718, 5841294, 5810226]",2025-03-17 17:07:27.162465
364461341,"[5809912, 5815662, 5304]",2025-03-17 17:07:27.162465
457591094,"[5809910, 5854897, 5700037]",2025-03-17 17:07:27.162465
537431116,"[5854897, 5809912, 5700037]",2025-03-17 17:07:27.162465
